Company Name,Address,Phone,Email,Web Site
The Astra,"393 Argent St, Broken Hill NSW 2880",(08) 8087 5428,enquiries@theastra.com.au,http://www.theastra.com.au/
Hotel Queanbeyan,"59 Crawford St, Queanbeyan NSW 2620",(02) 6297 3299,toppub@pacific.net.au,http://www.hotelqbn.com.au/
London Hotel - Motel,"12 Mirrool St, Ardlethan NSW 2665",(02) 6978 2143,londonhotel@bigpond.com,http://www.london-hotel.com.au/
Goonellabah Tavern & Motel,"Bruxner Hwy, Goonellabah NSW 2480",(02) 6625 1290,info@gbahtavern.com.au,http://www.gbahtavern.com.au/
Twin Towers Inn,"260 Pacific Hwy, Artarmon NSW 2064",(02) 9439 1388,twintowers@bestwestern.com.au,https://www.twintowersinn.com.au/
Ulmarra Commercial Hotel,"2 Coldstream St, Ulmarra NSW 2462",(02) 6644 5437,ulmarra.hotel@bigpond.com,http://www.ulmarrahotel.com.au/
Hotel Coronation,"5-7 Park St, Sydney NSW 2000",(02) 9264 1464,hotelcoronation@bigpond.com,http://www.hotelcoronation.com.au/
Byron Central Apartments,"5-7 Byron St, Byron Bay NSW 2481",(02) 6680 7529,stay@byroncentral.com,http://www.byroncentral.com/
Royal Hotel-Motel,"84 George St, Singleton NSW 2330",(02) 6572 1194,paul@hynken.com.au,http://www.royalhotelsingleton.com.au/
Heritage Hotel Motel Dorrigo,"Cnr Hickory and Cudgery St, Dorrigo NSW 2453",(02) 6657 2016,contact@hotelmoteldorrigo.com.au,http://www.hotelmoteldorrigo.com.au/
Bundanoon Hotel,"Corner Erith Street and Ellsmore Road,, Bundanoon NSW 2578",(02) 4883 6005,info@bundanoonhotel.com.au,http://www.bundanoonhotel.com.au/
ISLAND LEISURE VILLAGE,"Fenninghams Island Rd, Anna Bay NSW 2316",(02) 4982 1207,stay@theisland.com.au,http://www.theisland.com.au/
Cessnock Vintage Motor Inn,"300 Maitland Rd, Cessnock NSW 2325",(02) 4990 9372,enquiries@cessnockvintage.com.au,http://www.cessnockvintage.com.au/
Shoalhaven Heads Hotel,"51 River Rd, Shoalhaven Heads NSW 2535",(02) 4448 7125,info@headshotel.com.au,http://www.headshotel.com.au/
Kings Hotel,"60 George St, Bathurst NSW 2795",(02) 6331 1852,kingsongeorge@hotmail.com,http://www.kingsongeorge.com.au/
Kootingal Hotel,"20 Gate St, Kootingal NSW 2352",(02) 6760 5173,info@kootingalhotel.com.au,http://www.kootingalhotel.com.au/
Commercial Hotel,"74 Walker St, Casino NSW 2470",(02) 6662 1007,commercialhotel@iinet.net.au,NA
Mulberry Vale,"10690 Menindee Rd, Broken Hill NSW 2880",(08) 8088 1597,mulberryvale@bigpond.com,http://www.mulberryvale.com/
De Vere Hotel,"44 - 46 Macleay St, Potts Point NSW 2011",(02) 9361 4591,info@devere.com.au,http://www.devere.com.au/
Ulladulla Guest House,"39 Burrill St, Ulladulla NSW 2539",(02) 4455 1796,info@guesthouse.com.au,http://www.guesthouse.com.au/
Ultimate Apartments Bondi Beach,"59 O'Brien St, Bondi Beach NSW 2026",(02) 9365 7969,info@apartmentsbondibeach.com,http://www.apartmentsbondibeach.com/
Armatree Hotel,"1 Merrigal St, Armatree NSW 2828",(02) 6848 5805,NA,http://www.armatreehotel.com.au/
The Kirketon Hotel,"229 Darlinghurst Rd, Darlinghurst NSW 2010",(02) 9332 2011,info@kirketon.com.au,http://www.kirketon.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Blackbutt Inn,"80 Orchardtown Rd, New Lambton NSW 2305",(02) 4957 3732,enquiries@blackbutthotel.com.au,http://www.bestwestern.com.au/blackbutt
Novotel Northbeach,"2- 14 Cliff Rd, North Wollongong NSW 2500",(02) 4228 0443,h1654@accor.com,http://www.novotelnorthbeach.com.au/
Quality Suites - Boulevard On Beaumont,"131 Beaumont St, Hamilton NSW 2303",(02) 4962 1930,reservations@boulevardonbeaumont.com.au,http://www.boulevardonbeaumont.com.au/
Boardrider Backpacker & Budget Motel.,"Rear 63 The Corso, Manly NSW 2095",(02) 9977 6077,info@boardrider.com.au,http://www.boardrider.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Starline Alpacas Farm & Stay,"1100 Milbrodale Rd, Broke NSW 2330",(02) 6579 1081,farmstay@starlinealpacas.com.au,http://www.starlinealpacas.com.au/
Boyles Sutherland Hotel,"806-810 Old Princes Hwy, Sutherland NSW 2232",(02) 8535 3014,info@boylessutherlandhotel.com.au,http://www.boylessutherlandhotel.com.au/
Comfort Inn & Suites Burwood,"117 Liverpool Rd, Burwood NSW 2134",(02) 9744 0521,info@comfortburwood.com.au,http://www.comfortburwood.com.au/
Bay Royal Apartments,"24- 28 Bay St, Byron Bay NSW 2481",(02) 6680 9187,apartments@bayroyal.com.au,http://www.bayroyal.com.au/
Astina Serviced Apartments,"7 / 9 Lethbridge St, Penrith NSW 2750",(02) 4722 8597,info@astina.com.au,http://astina.com.au/
Victoria Hotel,NA,(02) 6332 1252,sales@victoriahotelbathurst.com.au,http://www.victoriahotelbathurst.com.au/
Diggers Tavern,"30 Hyde St, Bellingen NSW 2454",(02) 6655 0007,info@diggerstavern.com.au,http://www.diggerstavern.com.au/
The Astra,"393 Argent St, Broken Hill NSW 2880",(08) 8087 5428,enquiries@theastra.com.au,http://www.theastra.com.au/
Hotel Queanbeyan,"59 Crawford St, Queanbeyan NSW 2620",(02) 6297 3299,toppub@pacific.net.au,http://www.hotelqbn.com.au/
London Hotel - Motel,"12 Mirrool St, Ardlethan NSW 2665",(02) 6978 2143,londonhotel@bigpond.com,http://www.london-hotel.com.au/
Goonellabah Tavern & Motel,"Bruxner Hwy, Goonellabah NSW 2480",(02) 6625 1290,info@gbahtavern.com.au,http://www.gbahtavern.com.au/
Twin Towers Inn,"260 Pacific Hwy, Artarmon NSW 2064",(02) 9439 1388,twintowers@bestwestern.com.au,https://www.twintowersinn.com.au/
Ulmarra Commercial Hotel,"2 Coldstream St, Ulmarra NSW 2462",(02) 6644 5437,ulmarra.hotel@bigpond.com,http://www.ulmarrahotel.com.au/
Hotel Coronation,"5-7 Park St, Sydney NSW 2000",(02) 9264 1464,hotelcoronation@bigpond.com,http://www.hotelcoronation.com.au/
Byron Central Apartments,"5-7 Byron St, Byron Bay NSW 2481",(02) 6680 7529,stay@byroncentral.com,http://www.byroncentral.com/
Royal Hotel-Motel,"84 George St, Singleton NSW 2330",(02) 6572 1194,paul@hynken.com.au,http://www.royalhotelsingleton.com.au/
Heritage Hotel Motel Dorrigo,"Cnr Hickory and Cudgery St, Dorrigo NSW 2453",(02) 6657 2016,contact@hotelmoteldorrigo.com.au,http://www.hotelmoteldorrigo.com.au/
Bundanoon Hotel,"Corner Erith Street and Ellsmore Road,, Bundanoon NSW 2578",(02) 4883 6005,info@bundanoonhotel.com.au,http://www.bundanoonhotel.com.au/
ISLAND LEISURE VILLAGE,"Fenninghams Island Rd, Anna Bay NSW 2316",(02) 4982 1207,stay@theisland.com.au,http://www.theisland.com.au/
Cessnock Vintage Motor Inn,"300 Maitland Rd, Cessnock NSW 2325",(02) 4990 9372,enquiries@cessnockvintage.com.au,http://www.cessnockvintage.com.au/
Shoalhaven Heads Hotel,"51 River Rd, Shoalhaven Heads NSW 2535",(02) 4448 7125,info@headshotel.com.au,http://www.headshotel.com.au/
Kings Hotel,"60 George St, Bathurst NSW 2795",(02) 6331 1852,kingsongeorge@hotmail.com,http://www.kingsongeorge.com.au/
Kootingal Hotel,"20 Gate St, Kootingal NSW 2352",(02) 6760 5173,info@kootingalhotel.com.au,http://www.kootingalhotel.com.au/
Commercial Hotel,"74 Walker St, Casino NSW 2470",(02) 6662 1007,commercialhotel@iinet.net.au,NA
Mulberry Vale,"10690 Menindee Rd, Broken Hill NSW 2880",(08) 8088 1597,mulberryvale@bigpond.com,http://www.mulberryvale.com/
De Vere Hotel,"44 - 46 Macleay St, Potts Point NSW 2011",(02) 9361 4591,info@devere.com.au,http://www.devere.com.au/
Ulladulla Guest House,"39 Burrill St, Ulladulla NSW 2539",(02) 4455 1796,info@guesthouse.com.au,http://www.guesthouse.com.au/
Ultimate Apartments Bondi Beach,"59 O'Brien St, Bondi Beach NSW 2026",(02) 9365 7969,info@apartmentsbondibeach.com,http://www.apartmentsbondibeach.com/
Armatree Hotel,"1 Merrigal St, Armatree NSW 2828",(02) 6848 5805,NA,http://www.armatreehotel.com.au/
The Kirketon Hotel,"229 Darlinghurst Rd, Darlinghurst NSW 2010",(02) 9332 2011,info@kirketon.com.au,http://www.kirketon.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Blackbutt Inn,"80 Orchardtown Rd, New Lambton NSW 2305",(02) 4957 3732,enquiries@blackbutthotel.com.au,http://www.bestwestern.com.au/blackbutt
Novotel Northbeach,"2- 14 Cliff Rd, North Wollongong NSW 2500",(02) 4228 0443,h1654@accor.com,http://www.novotelnorthbeach.com.au/
Quality Suites - Boulevard On Beaumont,"131 Beaumont St, Hamilton NSW 2303",(02) 4962 1930,reservations@boulevardonbeaumont.com.au,http://www.boulevardonbeaumont.com.au/
Boardrider Backpacker & Budget Motel.,"Rear 63 The Corso, Manly NSW 2095",(02) 9977 6077,info@boardrider.com.au,http://www.boardrider.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Starline Alpacas Farm & Stay,"1100 Milbrodale Rd, Broke NSW 2330",(02) 6579 1081,farmstay@starlinealpacas.com.au,http://www.starlinealpacas.com.au/
Boyles Sutherland Hotel,"806-810 Old Princes Hwy, Sutherland NSW 2232",(02) 8535 3014,info@boylessutherlandhotel.com.au,http://www.boylessutherlandhotel.com.au/
Comfort Inn & Suites Burwood,"117 Liverpool Rd, Burwood NSW 2134",(02) 9744 0521,info@comfortburwood.com.au,http://www.comfortburwood.com.au/
Bay Royal Apartments,"24- 28 Bay St, Byron Bay NSW 2481",(02) 6680 9187,apartments@bayroyal.com.au,http://www.bayroyal.com.au/
Astina Serviced Apartments,"7 / 9 Lethbridge St, Penrith NSW 2750",(02) 4722 8597,info@astina.com.au,http://astina.com.au/
Victoria Hotel,NA,(02) 6332 1252,sales@victoriahotelbathurst.com.au,http://www.victoriahotelbathurst.com.au/
Diggers Tavern,"30 Hyde St, Bellingen NSW 2454",(02) 6655 0007,info@diggerstavern.com.au,http://www.diggerstavern.com.au/
The Astra,"393 Argent St, Broken Hill NSW 2880",(08) 8087 5428,enquiries@theastra.com.au,http://www.theastra.com.au/
Hotel Queanbeyan,"59 Crawford St, Queanbeyan NSW 2620",(02) 6297 3299,toppub@pacific.net.au,http://www.hotelqbn.com.au/
London Hotel - Motel,"12 Mirrool St, Ardlethan NSW 2665",(02) 6978 2143,londonhotel@bigpond.com,http://www.london-hotel.com.au/
Goonellabah Tavern & Motel,"Bruxner Hwy, Goonellabah NSW 2480",(02) 6625 1290,info@gbahtavern.com.au,http://www.gbahtavern.com.au/
Twin Towers Inn,"260 Pacific Hwy, Artarmon NSW 2064",(02) 9439 1388,twintowers@bestwestern.com.au,https://www.twintowersinn.com.au/
Ulmarra Commercial Hotel,"2 Coldstream St, Ulmarra NSW 2462",(02) 6644 5437,ulmarra.hotel@bigpond.com,http://www.ulmarrahotel.com.au/
Hotel Coronation,"5-7 Park St, Sydney NSW 2000",(02) 9264 1464,hotelcoronation@bigpond.com,http://www.hotelcoronation.com.au/
Byron Central Apartments,"5-7 Byron St, Byron Bay NSW 2481",(02) 6680 7529,stay@byroncentral.com,http://www.byroncentral.com/
Royal Hotel-Motel,"84 George St, Singleton NSW 2330",(02) 6572 1194,paul@hynken.com.au,http://www.royalhotelsingleton.com.au/
Heritage Hotel Motel Dorrigo,"Cnr Hickory and Cudgery St, Dorrigo NSW 2453",(02) 6657 2016,contact@hotelmoteldorrigo.com.au,http://www.hotelmoteldorrigo.com.au/
Bundanoon Hotel,"Corner Erith Street and Ellsmore Road,, Bundanoon NSW 2578",(02) 4883 6005,info@bundanoonhotel.com.au,http://www.bundanoonhotel.com.au/
ISLAND LEISURE VILLAGE,"Fenninghams Island Rd, Anna Bay NSW 2316",(02) 4982 1207,stay@theisland.com.au,http://www.theisland.com.au/
Cessnock Vintage Motor Inn,"300 Maitland Rd, Cessnock NSW 2325",(02) 4990 9372,enquiries@cessnockvintage.com.au,http://www.cessnockvintage.com.au/
Shoalhaven Heads Hotel,"51 River Rd, Shoalhaven Heads NSW 2535",(02) 4448 7125,info@headshotel.com.au,http://www.headshotel.com.au/
Kings Hotel,"60 George St, Bathurst NSW 2795",(02) 6331 1852,kingsongeorge@hotmail.com,http://www.kingsongeorge.com.au/
Kootingal Hotel,"20 Gate St, Kootingal NSW 2352",(02) 6760 5173,info@kootingalhotel.com.au,http://www.kootingalhotel.com.au/
Commercial Hotel,"74 Walker St, Casino NSW 2470",(02) 6662 1007,commercialhotel@iinet.net.au,NA
Mulberry Vale,"10690 Menindee Rd, Broken Hill NSW 2880",(08) 8088 1597,mulberryvale@bigpond.com,http://www.mulberryvale.com/
De Vere Hotel,"44 - 46 Macleay St, Potts Point NSW 2011",(02) 9361 4591,info@devere.com.au,http://www.devere.com.au/
Ulladulla Guest House,"39 Burrill St, Ulladulla NSW 2539",(02) 4455 1796,info@guesthouse.com.au,http://www.guesthouse.com.au/
Ultimate Apartments Bondi Beach,"59 O'Brien St, Bondi Beach NSW 2026",(02) 9365 7969,info@apartmentsbondibeach.com,http://www.apartmentsbondibeach.com/
Armatree Hotel,"1 Merrigal St, Armatree NSW 2828",(02) 6848 5805,NA,http://www.armatreehotel.com.au/
The Kirketon Hotel,"229 Darlinghurst Rd, Darlinghurst NSW 2010",(02) 9332 2011,info@kirketon.com.au,http://www.kirketon.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Blackbutt Inn,"80 Orchardtown Rd, New Lambton NSW 2305",(02) 4957 3732,enquiries@blackbutthotel.com.au,http://www.bestwestern.com.au/blackbutt
Novotel Northbeach,"2- 14 Cliff Rd, North Wollongong NSW 2500",(02) 4228 0443,h1654@accor.com,http://www.novotelnorthbeach.com.au/
Quality Suites - Boulevard On Beaumont,"131 Beaumont St, Hamilton NSW 2303",(02) 4962 1930,reservations@boulevardonbeaumont.com.au,http://www.boulevardonbeaumont.com.au/
Boardrider Backpacker & Budget Motel.,"Rear 63 The Corso, Manly NSW 2095",(02) 9977 6077,info@boardrider.com.au,http://www.boardrider.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Starline Alpacas Farm & Stay,"1100 Milbrodale Rd, Broke NSW 2330",(02) 6579 1081,farmstay@starlinealpacas.com.au,http://www.starlinealpacas.com.au/
Boyles Sutherland Hotel,"806-810 Old Princes Hwy, Sutherland NSW 2232",(02) 8535 3014,info@boylessutherlandhotel.com.au,http://www.boylessutherlandhotel.com.au/
Comfort Inn & Suites Burwood,"117 Liverpool Rd, Burwood NSW 2134",(02) 9744 0521,info@comfortburwood.com.au,http://www.comfortburwood.com.au/
Bay Royal Apartments,"24- 28 Bay St, Byron Bay NSW 2481",(02) 6680 9187,apartments@bayroyal.com.au,http://www.bayroyal.com.au/
Astina Serviced Apartments,"7 / 9 Lethbridge St, Penrith NSW 2750",(02) 4722 8597,info@astina.com.au,http://astina.com.au/
Victoria Hotel,NA,(02) 6332 1252,sales@victoriahotelbathurst.com.au,http://www.victoriahotelbathurst.com.au/
Diggers Tavern,"30 Hyde St, Bellingen NSW 2454",(02) 6655 0007,info@diggerstavern.com.au,http://www.diggerstavern.com.au/
The Astra,"393 Argent St, Broken Hill NSW 2880",(08) 8087 5428,enquiries@theastra.com.au,http://www.theastra.com.au/
Hotel Queanbeyan,"59 Crawford St, Queanbeyan NSW 2620",(02) 6297 3299,toppub@pacific.net.au,http://www.hotelqbn.com.au/
London Hotel - Motel,"12 Mirrool St, Ardlethan NSW 2665",(02) 6978 2143,londonhotel@bigpond.com,http://www.london-hotel.com.au/
Goonellabah Tavern & Motel,"Bruxner Hwy, Goonellabah NSW 2480",(02) 6625 1290,info@gbahtavern.com.au,http://www.gbahtavern.com.au/
Twin Towers Inn,"260 Pacific Hwy, Artarmon NSW 2064",(02) 9439 1388,twintowers@bestwestern.com.au,https://www.twintowersinn.com.au/
Ulmarra Commercial Hotel,"2 Coldstream St, Ulmarra NSW 2462",(02) 6644 5437,ulmarra.hotel@bigpond.com,http://www.ulmarrahotel.com.au/
Hotel Coronation,"5-7 Park St, Sydney NSW 2000",(02) 9264 1464,hotelcoronation@bigpond.com,http://www.hotelcoronation.com.au/
Byron Central Apartments,"5-7 Byron St, Byron Bay NSW 2481",(02) 6680 7529,stay@byroncentral.com,http://www.byroncentral.com/
Royal Hotel-Motel,"84 George St, Singleton NSW 2330",(02) 6572 1194,paul@hynken.com.au,http://www.royalhotelsingleton.com.au/
Heritage Hotel Motel Dorrigo,"Cnr Hickory and Cudgery St, Dorrigo NSW 2453",(02) 6657 2016,contact@hotelmoteldorrigo.com.au,http://www.hotelmoteldorrigo.com.au/
Bundanoon Hotel,"Corner Erith Street and Ellsmore Road,, Bundanoon NSW 2578",(02) 4883 6005,info@bundanoonhotel.com.au,http://www.bundanoonhotel.com.au/
ISLAND LEISURE VILLAGE,"Fenninghams Island Rd, Anna Bay NSW 2316",(02) 4982 1207,stay@theisland.com.au,http://www.theisland.com.au/
Cessnock Vintage Motor Inn,"300 Maitland Rd, Cessnock NSW 2325",(02) 4990 9372,enquiries@cessnockvintage.com.au,http://www.cessnockvintage.com.au/
Shoalhaven Heads Hotel,"51 River Rd, Shoalhaven Heads NSW 2535",(02) 4448 7125,info@headshotel.com.au,http://www.headshotel.com.au/
Kings Hotel,"60 George St, Bathurst NSW 2795",(02) 6331 1852,kingsongeorge@hotmail.com,http://www.kingsongeorge.com.au/
Kootingal Hotel,"20 Gate St, Kootingal NSW 2352",(02) 6760 5173,info@kootingalhotel.com.au,http://www.kootingalhotel.com.au/
Commercial Hotel,"74 Walker St, Casino NSW 2470",(02) 6662 1007,commercialhotel@iinet.net.au,NA
Mulberry Vale,"10690 Menindee Rd, Broken Hill NSW 2880",(08) 8088 1597,mulberryvale@bigpond.com,http://www.mulberryvale.com/
De Vere Hotel,"44 - 46 Macleay St, Potts Point NSW 2011",(02) 9361 4591,info@devere.com.au,http://www.devere.com.au/
Ulladulla Guest House,"39 Burrill St, Ulladulla NSW 2539",(02) 4455 1796,info@guesthouse.com.au,http://www.guesthouse.com.au/
Ultimate Apartments Bondi Beach,"59 O'Brien St, Bondi Beach NSW 2026",(02) 9365 7969,info@apartmentsbondibeach.com,http://www.apartmentsbondibeach.com/
Armatree Hotel,"1 Merrigal St, Armatree NSW 2828",(02) 6848 5805,NA,http://www.armatreehotel.com.au/
The Kirketon Hotel,"229 Darlinghurst Rd, Darlinghurst NSW 2010",(02) 9332 2011,info@kirketon.com.au,http://www.kirketon.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Blackbutt Inn,"80 Orchardtown Rd, New Lambton NSW 2305",(02) 4957 3732,enquiries@blackbutthotel.com.au,http://www.bestwestern.com.au/blackbutt
Novotel Northbeach,"2- 14 Cliff Rd, North Wollongong NSW 2500",(02) 4228 0443,h1654@accor.com,http://www.novotelnorthbeach.com.au/
Quality Suites - Boulevard On Beaumont,"131 Beaumont St, Hamilton NSW 2303",(02) 4962 1930,reservations@boulevardonbeaumont.com.au,http://www.boulevardonbeaumont.com.au/
Boardrider Backpacker & Budget Motel.,"Rear 63 The Corso, Manly NSW 2095",(02) 9977 6077,info@boardrider.com.au,http://www.boardrider.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Starline Alpacas Farm & Stay,"1100 Milbrodale Rd, Broke NSW 2330",(02) 6579 1081,farmstay@starlinealpacas.com.au,http://www.starlinealpacas.com.au/
Boyles Sutherland Hotel,"806-810 Old Princes Hwy, Sutherland NSW 2232",(02) 8535 3014,info@boylessutherlandhotel.com.au,http://www.boylessutherlandhotel.com.au/
Comfort Inn & Suites Burwood,"117 Liverpool Rd, Burwood NSW 2134",(02) 9744 0521,info@comfortburwood.com.au,http://www.comfortburwood.com.au/
Bay Royal Apartments,"24- 28 Bay St, Byron Bay NSW 2481",(02) 6680 9187,apartments@bayroyal.com.au,http://www.bayroyal.com.au/
Astina Serviced Apartments,"7 / 9 Lethbridge St, Penrith NSW 2750",(02) 4722 8597,info@astina.com.au,http://astina.com.au/
Victoria Hotel,NA,(02) 6332 1252,sales@victoriahotelbathurst.com.au,http://www.victoriahotelbathurst.com.au/
Diggers Tavern,"30 Hyde St, Bellingen NSW 2454",(02) 6655 0007,info@diggerstavern.com.au,http://www.diggerstavern.com.au/
The Astra,"393 Argent St, Broken Hill NSW 2880",(08) 8087 5428,enquiries@theastra.com.au,http://www.theastra.com.au/
Hotel Queanbeyan,"59 Crawford St, Queanbeyan NSW 2620",(02) 6297 3299,toppub@pacific.net.au,http://www.hotelqbn.com.au/
London Hotel - Motel,"12 Mirrool St, Ardlethan NSW 2665",(02) 6978 2143,londonhotel@bigpond.com,http://www.london-hotel.com.au/
Goonellabah Tavern & Motel,"Bruxner Hwy, Goonellabah NSW 2480",(02) 6625 1290,info@gbahtavern.com.au,http://www.gbahtavern.com.au/
Twin Towers Inn,"260 Pacific Hwy, Artarmon NSW 2064",(02) 9439 1388,twintowers@bestwestern.com.au,https://www.twintowersinn.com.au/
Ulmarra Commercial Hotel,"2 Coldstream St, Ulmarra NSW 2462",(02) 6644 5437,ulmarra.hotel@bigpond.com,http://www.ulmarrahotel.com.au/
Hotel Coronation,"5-7 Park St, Sydney NSW 2000",(02) 9264 1464,hotelcoronation@bigpond.com,http://www.hotelcoronation.com.au/
Byron Central Apartments,"5-7 Byron St, Byron Bay NSW 2481",(02) 6680 7529,stay@byroncentral.com,http://www.byroncentral.com/
Royal Hotel-Motel,"84 George St, Singleton NSW 2330",(02) 6572 1194,paul@hynken.com.au,http://www.royalhotelsingleton.com.au/
Heritage Hotel Motel Dorrigo,"Cnr Hickory and Cudgery St, Dorrigo NSW 2453",(02) 6657 2016,contact@hotelmoteldorrigo.com.au,http://www.hotelmoteldorrigo.com.au/
Bundanoon Hotel,"Corner Erith Street and Ellsmore Road,, Bundanoon NSW 2578",(02) 4883 6005,info@bundanoonhotel.com.au,http://www.bundanoonhotel.com.au/
ISLAND LEISURE VILLAGE,"Fenninghams Island Rd, Anna Bay NSW 2316",(02) 4982 1207,stay@theisland.com.au,http://www.theisland.com.au/
Cessnock Vintage Motor Inn,"300 Maitland Rd, Cessnock NSW 2325",(02) 4990 9372,enquiries@cessnockvintage.com.au,http://www.cessnockvintage.com.au/
Shoalhaven Heads Hotel,"51 River Rd, Shoalhaven Heads NSW 2535",(02) 4448 7125,info@headshotel.com.au,http://www.headshotel.com.au/
Kings Hotel,"60 George St, Bathurst NSW 2795",(02) 6331 1852,kingsongeorge@hotmail.com,http://www.kingsongeorge.com.au/
Kootingal Hotel,"20 Gate St, Kootingal NSW 2352",(02) 6760 5173,info@kootingalhotel.com.au,http://www.kootingalhotel.com.au/
Commercial Hotel,"74 Walker St, Casino NSW 2470",(02) 6662 1007,commercialhotel@iinet.net.au,NA
Mulberry Vale,"10690 Menindee Rd, Broken Hill NSW 2880",(08) 8088 1597,mulberryvale@bigpond.com,http://www.mulberryvale.com/
De Vere Hotel,"44 - 46 Macleay St, Potts Point NSW 2011",(02) 9361 4591,info@devere.com.au,http://www.devere.com.au/
Ulladulla Guest House,"39 Burrill St, Ulladulla NSW 2539",(02) 4455 1796,info@guesthouse.com.au,http://www.guesthouse.com.au/
Ultimate Apartments Bondi Beach,"59 O'Brien St, Bondi Beach NSW 2026",(02) 9365 7969,info@apartmentsbondibeach.com,http://www.apartmentsbondibeach.com/
Armatree Hotel,"1 Merrigal St, Armatree NSW 2828",(02) 6848 5805,NA,http://www.armatreehotel.com.au/
The Kirketon Hotel,"229 Darlinghurst Rd, Darlinghurst NSW 2010",(02) 9332 2011,info@kirketon.com.au,http://www.kirketon.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Blackbutt Inn,"80 Orchardtown Rd, New Lambton NSW 2305",(02) 4957 3732,enquiries@blackbutthotel.com.au,http://www.bestwestern.com.au/blackbutt
Novotel Northbeach,"2- 14 Cliff Rd, North Wollongong NSW 2500",(02) 4228 0443,h1654@accor.com,http://www.novotelnorthbeach.com.au/
Quality Suites - Boulevard On Beaumont,"131 Beaumont St, Hamilton NSW 2303",(02) 4962 1930,reservations@boulevardonbeaumont.com.au,http://www.boulevardonbeaumont.com.au/
Boardrider Backpacker & Budget Motel.,"Rear 63 The Corso, Manly NSW 2095",(02) 9977 6077,info@boardrider.com.au,http://www.boardrider.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Starline Alpacas Farm & Stay,"1100 Milbrodale Rd, Broke NSW 2330",(02) 6579 1081,farmstay@starlinealpacas.com.au,http://www.starlinealpacas.com.au/
Boyles Sutherland Hotel,"806-810 Old Princes Hwy, Sutherland NSW 2232",(02) 8535 3014,info@boylessutherlandhotel.com.au,http://www.boylessutherlandhotel.com.au/
