PostText,PosterName,PostDate,CommentDate,CommentContact,CommentDetails,CommentMedia
,,,20180708131558,b'Ron Smith',b'But four are certainly out',
,,,20180708132625,b'Ron Smith',"b'I have just realized in my excitement, that this is not really the website to make news calls of no relevence. But there agaim'",
,,,20180708135135,b'Ron Smith',b'Six out. Confirmed. Still Yay yay yay',
,,,20180708135504,b'Deb Ghinn',"b""Ahh bless - BBC News have just reported that they're taking the weakest boys first. They've only said four out & airlifted to hosp at this point, but maybe they're a bit slow with their confirmations...""",
,,,20180708141153,b'Ron Smith',b'Apparrently they need a ten hour stand down period. No idea why.. Fingers crossed and prayer are said.',
,,,20180708210315,b'Suzanne A. Sherrod',b'More oxygen tanks. According to BBC who interviewed a Thai official',
,,,20180708143503,b'Ron Smith',b'Hope they are not waiting for the rrt to arrive. Now that would be a sick joke hah?',
,,,20180708150132,b'Philip Mar',b'@ 21:30 it was announced that 4 boys are out.......... governor Chiang Rai Governor Narongsak Osottanakorn has said that four boys have been extracted from the cave so far and that the rescue mission has now be halted and may not resume until tomorrow...',
,,,20180708155647,b'Philip Mar',"b'Just off to bed, no more News'",
,,,20180708180026,b'Connie Bunning Barton',b'4 out with 9 more to go. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb',
,,,20180708194732,b'Jenny Kells',b'Our TV said they have got the four strongest boys out and may resume midday NZ time after they have replenished the oxygen stations. Lets hope!!!',
,,,20180708212144,b'Jill Aebi-Mytton',b'BBC said the first four were the weakest as assessed by a doctor presumably because they would not survive much longer in the cave.',
,,,20180709012035,b'Philip Mar',b'Jill Aebi-Mytton was also stated on Thai TV weakest or in medical needs would be 1st',
,,,20180708205224,b'Marg Hoyle',b'For those interested here is a live news site.. http://www.abc.net.au/.../live-thai-cave-rescue.../9948472',
,,,20180709011715,b'Philip Mar',b'The News here in Thailand is that 3 boys and the Coach came out yesterday... my Thai is not very good so it is from a translation....[Thai News on Thai TV Live]. appears that many News Agents report different things....',
,,,20180710095852,b'Philip Mar',b'Update .... 10 mins ago the 10th boy came out [on Thai TV] about 45 mins ago the 9th came out.....',
,,,20180710100851,b'Ron Smith',b'I am reluctant to comment - but two left to come out?',
,,,20180710101440,b'Marg Hoyle',b'not confirmed yet... but some are reporting 11th is out. Awaiting confirmation',
,,,20180710101839,b'Ron Smith',"b'A lot of people are ""fingering"" the coach. As I understand he was a former Buddhist Monk. His understanding and application of meditation is being applauded as helping to save those young lives'",
,,,20180710102046,b'Marg Hoyle',b'Yes... and I hope they dont start blaming him. He kept the boys alive until they were found. They are bringing him out tonight also I think... and the medical guys who have been treating the boys while in the cave.',
,,,20180710102116,b'Marg Hoyle',b'11th out and confirmed :)',
,,,20180710103207,b'Marg Hoyle',"b'Hmmm interesting but understandable bit of news. Quote Kaho Sod English\'s source ""confirmed rumors that the children have been medically sedated, and reviving them fully is why it takes time for them to emerge from the cave entrance.""'",
,,,20180710103422,b'Ron Smith',b'The diving doctors. I am absolutely gobsmacked with those guys. No wonder the lead doctor was an aneasthetist',
,,,20180710103607,b'Marg Hoyle',b'Yes.. Hmmm I think they would have needed a hammer to sedate me enough to make that trip out of the caves.',
,,,20180710103936,b'Lucelle Oliver',b'That (sedation) actually makes sense if the kids were not strong swimmers. And having an anxious and panicky child would use much more oxygen than a sedated one.',
,,,20180710104505,b'Marg Hoyle',b'Yes... It makes heaps of sense.',
,,,20180710105603,b'Marg Hoyle',b'hmmm Im about to go to sleep in my chair :) Think I will leave my faith with the rescue guys..... go to bed and sleep with the radio on. :) Take care all. xoxo',
,,,20180710110052,b'Ron Smith',b'Goodnight Marg. You are inspirational',
,,,20180710111214,b'Ron Smith',"b'Al Jazeera reporting last boy out, and that the coach is 200 metres behind. I am lost for words'",
,,,20180710111735,b'Rod Wilkins',"b'That\xe2\x80\x99s lovely but can I ask why? Why did God let them go in there in the first place? Why did he let it rain and trap them? Do you think God doesn\xe2\x80\x99t care but will change his mind because you prayed? So many questions! Just asking for the sake of the young, you understand!'",
,,,20180710115015,b'Nelson Handcock',b'I expect someone will theorise that God let this happen because the world needed the opportunity to be reminded what humanity looks like...!',
,,,20180710122833,b'Rod Wilkins',b'Nelson Handcock but doesn\xe2\x80\x99t the RRT do that already?',
,,,20180710111929,b'Ron Smith',b'Fuck mate - with respect',
,,,20180710122617,b'Deb Ghinn',"b""So glad they're all out \xf0\x9f\x92\x9e""",
,,,20180710123217,b'Ron Smith',b'Yes Debs. Absolutely',
,,,20180710130047,b'Philip Mar',b'Yes confirmed on Thai News all out the last was the Coach ...... reports he was in the 1st group was yet again wrong reporting...',
,,,20180710152401,b'Paul Flowerdew',"b""I'm also very glad to hear all the boys are safe. Praise be to the rescuers and all the people involved in this extraordinary humanitarian endeavour.""",
